Name,Team,OWAR600
Barry Bonds,SFG,10.27698341
Albert Pujols,STL,5.608668719
Todd Helton,COL,5.334446732
J.D. Drew,ATL,5.292212746
Jim Edmonds,STL,5.517788396
Bobby Abreu,PHI,4.690945493
Lance Berkman,HOU,4.434055017
Adrian Beltre,LAD,4.519224693
Scott Rolen,STL,4.98880633
Melvin Mora,BAL,4.471012843
Vladimir Guerrero,ANA,4.145835251
Travis Hafner,CLE,4.529136482
Adam Dunn,CIN,3.635678244
Carlos Beltran,- - -,3.354918425
Manny Ramirez,BOS,3.345508407
Hideki Matsui,NYY,3.224857023
Gary Sheffield,NYY,3.202830172
David Ortiz,BOS,3.225991122
Mark Loretta,SDP,2.935923814
Ichiro,SEA,2.669479526
Carlos Guillen,DET,3.476858933
Brian Giles,SDP,2.741897725
Alex Rodriguez,NYY,2.786701721
J.T. Snow,SFG,4.403727328
Jim Thome,PHI,2.78334276
Erubiel Durazo,OAK,2.971077629
Aaron Rowand,CHW,3.174360782
Johnny Damon,BOS,2.362949504
Carlos Lee,CHW,2.410937745
Moises Alou,CHC,2.344157276
Eric Chavez,OAK,2.596743009
Miguel Tejada,BAL,2.051587305
Miguel Cabrera,FLA,2.130955663
Brad Wilkerson,MON,2.033227357
Mark Teixeria,TEX,2.220002715
Larry Walker,- - -,4.344558858
Ryan Klesko,SDP,2.840057982
Sean Casey,CIN,2.109042409
Ivan Rodriguez,DET,2.294336962
Aramis Ramirez,CHC,2.146594211
Frank Thomas,CHW,4.141828185
Jeff Bagwell,HOU,1.818736525
Phil Nevin,SDP,1.913360533
Mike Lowell,FLA,1.713053786
Aubrey Huff,TBD,1.695406507
Lyle Overbay,MIL,1.690883773
Javy Lopez,BAL,1.755317304
Derek Jeter,NYY,1.470274661
Ben Broussard,CLE,2.133884056
Eric Byrnes,OAK,1.623292484
Juan Pierre,FLA,1.354693464
Lew Ford,MIN,1.534877826
Jeromy Burnitz,COL,1.65444755
Derrek Lee,CHC,1.441667364
Jorge Posada,NYY,1.789215664
David Newhan,BAL,2.333151366
Craig Wilson,PIT,1.481714232
Ray Durham,SFG,1.751960752
Jason Bay,PIT,1.983131891
Jason Varitek,BOS,1.732784991
Mark Bellhorn,BOS,1.477800397
Casey Blake,CLE,1.363021638
Kevin Millar,BOS,1.535878985
Jose Guillen,ANA,1.426858352
Michael Young,TEX,1.183571053
Paul Konerko,CHW,1.349908506
Jeff Kent,HOU,1.412010992
Carlos Delgado,TOR,1.440323741
Jimmy Rollins,PHI,1.076839986
Chipper Jones,ATL,1.366832826
Mark Kotsay,OAK,1.085568345
Marcus Giles,ATL,1.679937877
Troy Glaus,ANA,2.97142391
Kevin Mench,TEX,1.461682143
Jason Kendall,PIT,1.060932194
Raul Ibanez,SEA,1.328459593
Carlos Pena,DET,1.210873855
Eli Marrero,ATL,2.405661641
Carl Crawford,TBD,0.992714457
Hank Blalock,TEX,0.92726096
Jayson Werth,LAD,1.969719342
Mike Cameron,NYM,1.133568964
Craig Monroe,DET,1.31497645
Shawn Green,LAD,0.909042082
José Hernández,LAD,2.548819473
Hee Sop Choi,- - -,1.435146532
Robb Quinlan,ANA,3.343191494
Shannon Stewart,MIN,1.35973019
Khalil Greene,SDP,1.036572851
Vernon Wells,TOR,0.961333125
Luis Gonzalez,ARI,1.247103545
David Wright,NYM,1.938364104
Chone Figgins,ANA,0.858106744
Dustan Mohr,SFG,1.648903455
Jeff DaVanon,ANA,1.572366647
Todd Hollandsworth,CHC,3.060282476
Milton Bradley,LAD,0.853189132
Victor Martinez,CLE,0.855565557
Mike Lamb,HOU,1.55808174
Ramon Hernandez,SDP,1.098768698
Craig Biggio,HOU,0.656843963
Steve Finley,- - -,0.622514037
Nomar Garciaparra,- - -,1.204113282
Rafael Furcal,ATL,0.635791652
Scott Hatteberg,OAK,0.625752265
Cliff Floyd,NYM,0.849844546
Wily Mo Peña,CIN,1.065271317
Ken Griffey Jr.,CIN,1.105071828
Randy Winn,SEA,0.544577663
Sammy Sosa,CHC,0.704156166
Jack Wilson,PIT,0.538931226
Matt Lawton,CLE,0.548661741
Joe Mauer,MIN,3.041543038
Frank Menechino,- - -,1.188468628
Keith Ginter,MIL,0.840397776
Andruw Jones,ATL,0.560583944
David Bell,PHI,0.594073516
Trot Nixon,BOS,2.119883029
Larry Bigbie,BAL,0.661556052
Mike Sweeney,KCR,0.758175181
Pat Burrell,PHI,0.62530813
Justin Morneau,MIN,1.059021023
Charles Thomas,ATL,1.228298441
Reggie Sanders,STL,0.672877477
Omar Vizquel,CLE,0.492744156
Tino Martinez,TBD,0.589027645
John Mabry,STL,1.144719334
Matt Holliday,COL,0.70541319
Johnny Estrada,ATL,0.594581378
Bernie Williams,NYY,0.465801155
Jerry Hairston,BAL,0.904484077
Corey Koskie,MIN,0.614298827
Alfonso Soriano,TEX,0.455233554
Coco Crisp,CLE,0.553772749
Torii Hunter,MIN,0.520660238
Ronnie Belliard,CLE,0.445590943
Rondell White,DET,0.561157282
Brandon Inge,DET,0.605822968
Jeremy Reed,SEA,4.195561249
Marcus Thames,DET,1.460872698
Magglio Ordonez,CHW,1.178194174
Augie Ojeda,MIN,3.503415011
Ryan Freel,CIN,0.420529383
Mark Sweeney,COL,1.09302876
Jose Vidro,MON,0.497293081
Juan Uribe,CHW,0.416227363
Julio Franco,ATL,0.625088227
Richie Sexson,ARI,2.146190023
Tony Womack,STL,0.362925978
Michael Tucker,SFG,0.390662668
Dmitri Young,DET,0.471929107
Bucky Jacobsen,SEA,1.149122421
Jorge Cantu,TBD,1.053908733
Doug Mirabelli,BOS,1.065310283
Adam LaRoche,ATL,0.541686664
Damion Easley,FLA,0.740055435
Josh Bard,CLE,7.852928869
Juan Rivera,MON,0.420497195
Olmedo Saenz,LAD,1.382903165
Darin Erstad,ANA,0.322115753
B.J. Surhoff,BAL,0.451953667
Brady Clark,MIL,0.399230692
Todd Walker,CHC,0.391369442
Shea Hillenbrand,ARI,0.256652785
Michael Cuddyer,MIN,0.400405521
Russell Branyan,MIL,0.834647851
Luis Castillo,FLA,0.224998492
Eric Valent,NYM,0.482214318
Tony Torcato,SFG,11.46349613
Rocco Baldelli,TBD,0.240818301
Eric Bruntlett,HOU,2.190988913
Dave Roberts,- - -,0.35357604
