Name,WAR
A.J. Burnett,3.598865897
Aaron Cook,1.68266357
Aaron Fultz,0.265752152
Aaron Harang,1.554965269
Aaron Heilman,0.902352138
Aaron Myette,-1.455204991
Aaron Rakers,2.03243894
Aaron Sele,0.572936295
Aaron Small,-3.658156441
Aaron Taylor,-4.092757796
Abe Alvarez,-4.461109757
Abraham O. Nunez,1.350971544
Adam Bernero,-0.837745077
Adam Eaton,1.684960329
Adam Peterson,-2.772419651
Adrian Hernandez,0.304873554
Akinori Otsuka,3.529978257
Al Leiter,1.22036972
Al Levine,-0.558437993
Al Reyes,5.358020416
Alan Embree,1.085382535
Alex Graman,0.837366259
Allan Simpson,1.374998249
Amaury Telemaco,-1.041905642
Anastacio Martinez,-2.683667896
Andrew Good,-0.674703667
Andy Ashby,5.754423354
Andy Pettitte,3.219507264
Andy Pratt,-10.32444216
Antonio Alfonseca,0.851319659
Antonio Osuna,2.486131128
Aquilino Lopez,-2.127067792
Armando Almanza,-2.043718596
Armando Benitez,3.597460903
Arnie Munoz,-2.097087532
Arthur Rhodes,-2.020729505
B.J. Ryan,5.452715063
Barry Zito,1.983908392
Bartolo Colon,0.921570178
Bartolome Fortunato,0.288260894
Ben Ford,-1.484396636
Ben Hendrickson,0.591694732
Ben Howard,-0.979006398
Ben Sheets,5.105472552
Ben Weber,-2.419603482
Billy Koch,-0.191522461
Billy Wagner,4.96655624
Blaine Neal,0.38515581
Bob File,-0.190492777
Bob Howry,1.438956013
Bob Wickman,0.617633864
Bobby Jones,-10.61649442
Bobby Madritsch,3.785243402
Bobby Seay,1.664433793
Brad Halsey,1.231108241
Brad Hennessey,2.221126425
Brad Lidge,6.092617376
Brad Penny,3.024090574
Brad Radke,3.319553794
Brad Thomas,0.392203114
Braden Looper,3.000400866
Brandon Backe,1.087468629
Brandon Claussen,1.251737302
Brandon Duckworth,-1.542098479
Brandon League,4.075283806
Brandon Puffer,-1.286804743
Brandon Villafuerte,-0.758049171
Brandon Webb,1.670704164
Brendan Donnelly,2.578095017
Bret Prinz,-0.749873754
Brett Myers,0.863389742
Brett Tomko,1.962620871
Brian Anderson,0.148102341
Brian Boehringer,-0.16270426
Brian Bruney,0.674426489
Brian Cooper,-2.458759605
Brian Falkenborg,-1.414809407
Brian Fuentes,1.854411168
Brian Lawrence,1.222907099
Brian Meadows,1.447207381
Brian Powell,0.677925555
Brian Reith,-2.044450818
Brian Shouse,1.944272479
Brian Sweeney,3.860253557
Bronson Arroyo,2.602215728
Brooks Kieschnick,0.442795284
Bruce Chen,1.932212786
Buddy Groom,0.955142889
Byung-Hyun Kim,0.787268753
C.J. Nitkowski,-0.607213145
Cal Eldred,0.509781343
Carl Pavano,2.970100944
Carlos Almanzar,1.258098959
Carlos Hernández,-1.790574074
Carlos Pulido,-0.440042317
Carlos Silva,1.77452973
Carlos Zambrano,3.173563096
Carmen Cali,-0.450597731
Casey Daigle,-0.72037036
Casey Fossum,0.053518095
CC Sabathia,2.099011844
Cha Seung Baek,1.19795453
Chad Bentz,-2.876505114
Chad Bradford,0.337586816
Chad Cordero,1.48209093
Chad Durbin,-0.785788986
Chad Fox,1.455646601
Chad Gaudin,1.003391107
Chad Harville,-0.354002903
Chad Qualls,1.149082311
Chan Ho Park,-0.360757906
Chin-hui Tsao,1.601340159
Chris Capuano,0.630914824
Chris Carpenter,2.474967788
Chris George,1.467437038
Chris Gissell,-0.61629694
Chris Hammond,1.65485926
Chris Reitsma,0.932202991
Chris Saenz,5.767839029
Chris Young,1.983651783
Claudio Vargas,-1.213385508
Cliff Bartosh,-0.308832837
Cliff Lee,0.799725924
Cliff Politte,1.184919596
Clint Nageotte,-0.092966863
Cody McKay,-0.296479869
Colby Lewis,1.261606854
Cory Lidle,1.752293725
Craig Dingman,-1.773341412
Curt Leskanic,-1.992702068
Curt Schilling,4.311309437
D.J. Carrasco,-0.516594773
Damaso Marte,1.083080367
Damian Moss,-1.443462178
Dan Haren,1.412836542
Dan Kolb,1.435826795
Dan Meyer,0.613356242
Dan Miceli,2.019815998
Dan Wheeler,0.605356023
Dan Wright,-2.126456933
Daniel Cabrera,1.14041624
Danny Graves,-0.200482838
Danny Patterson,-1.670780362
Danys Baez,1.014324103
Darrell May,0.78933259
Darren Dreifort,0.971641677
Darren Oliver,0.045685736
Darwin Cubillan,-2.892006397
