Card #,Player,Team,Starter,Pos,Rat,Spd,Def,R/AB,BWAR,SWAR,WAR,rWAR,RvW,RSpecial,Special,Success%,1,2,3,4,5,6,7,8,9,10,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
40,Eric Gagne,Los Angeles Dodgers,,P,97,,,0.024,6.8,-1.0,5.8,5.3,0.6,0.091,High Heat,67%,K,GO,FO,GO,K,K,K,K,1B,BB,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.01
75,Randy Johnson,New York Yankees,,P,98,,*,0.030,6.3,-1.0,5.3,5.8,-0.6,0.083,High Heat,70%,K,FO,GO,FO,GO,K,K,K,1B,3B,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.02
32,Keith Foulke,Boston Red Sox,,P,91,,,0.031,6.2,-1.0,5.2,2.9,2.2,0.083,High Heat,70%,FO,K,FO,GO,FO,K,FO,GO,1B,2B,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.01
59,Francisco Rodriguez,Anaheim Angels,,P,90,,,0.035,5.8,-1.0,4.8,2.9,2.0,0.061,High Heat,78%,FO,GO,K,K,K,K,BB,K,1B,K,0.01,0.01,0.00,0.00,0.00,0.00,0.03,0.00,0.02,0.00
60,Joe Nathan,Minnesota Twins,,P,96,,,0.039,5.5,-1.0,4.5,5.2,-0.7,0.069,High Heat,75%,FO,FO,K,GO,K,K,K,1B,BB,BB,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.03,0.02,0.01
127,Roger Clemens,Houston Astros,,P,94,,*,0.053,4.2,-0.8,3.5,3.5,0.0,0.041,High Heat,85%,GO,K,FO,K,GO,FO,BB,1B,GO,2B,0.01,0.00,0.01,0.00,0.01,0.00,0.03,0.03,0.00,0.01
86,Braden Looper,New York Mets,,P,88,,,0.083,1.5,2.0,3.5,2.5,0.9,-0.066,Double Play,60%,GO,FO,1B,K,GO,FO,GO,1B,FO,GO,0.01,0.01,0.10,0.00,0.01,0.00,0.00,0.03,0.00,0.00
57,Carlos Zambrano,Chicago Cubs,,P,95,,,0.055,4.0,-0.7,3.4,4.5,-1.1,0.039,High Heat,86%,GO,FO,GO,K,FO,K,1B,BB,GO,2B,0.01,0.01,0.01,0.00,0.00,0.00,0.04,0.03,0.00,0.01
94,Ben Sheets,Milwaukee Brewers,,P,96,,,0.056,3.9,-1.0,2.9,4.8,-1.9,0.055,High Heat,80%,K,K,FO,GO,FO,GO,FO,2B,1B,HR,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.05,0.02,0.02
11,Livan Hernandez,Washington Nationals,,P,84,,*,0.088,1.1,1.8,2.9,2.4,0.5,-0.051,Double Play,58%,GO,FO,K,GO,FO,1B,GO,BB,2B,HR,0.01,0.01,0.00,0.01,0.00,0.07,0.00,0.03,0.03,0.02
69,Carl Pavano,New York Yankees,,P,92,,*,0.079,1.9,0.8,2.8,3.4,-0.6,-0.015,Double Play,53%,GO,FO,GO,FO,1B,K,GO,FO,2B,3B,0.01,0.01,0.01,0.01,0.08,0.00,0.00,0.00,0.03,0.02
133,Jake Westbrook,Cleveland Indians,,P,89,,,0.085,1.4,1.3,2.6,2.6,0.0,-0.029,Double Play,55%,GO,GO,FO,GO,1B,GO,K,2B,FO,BB,0.01,0.01,0.01,0.01,0.08,0.00,0.00,0.05,0.00,0.01
112,Jerome Williams,San Francisco Giants,,P,69,,,0.077,2.1,0.5,2.6,-0.9,3.5,0.000,Double Play,51%,GO,GO,FO,GO,GO,K,1B,BB,2B,HR,0.01,0.01,0.01,0.01,0.01,0.00,0.04,0.03,0.03,0.02
56,Matt Morris,St. Louis Cardinals,,P,76,,*,0.109,-0.8,3.3,2.5,0.5,2.0,-0.110,Double Play,66%,GO,GO,FO,GO,K,1B,GO,HR,2B,BB,0.01,0.01,0.01,0.01,0.00,0.07,0.00,0.08,0.03,0.01
39,Pedro Martinez,New York Mets,,P,80,,,0.065,3.1,-0.7,2.4,1.5,0.9,0.050,High Heat,82%,FO,K,GO,K,FO,GO,1B,FO,HR,2B,0.01,0.00,0.01,0.00,0.00,0.00,0.04,0.00,0.05,0.01
125,Curt Schilling,Boston Red Sox,,P,95,,*,0.069,2.8,-0.4,2.4,3.5,-1.1,0.039,High Heat,86%,FO,GO,K,FO,GO,K,1B,2B,FO,HR,0.01,0.01,0.00,0.01,0.01,0.00,0.04,0.05,0.00,0.02
67,Eddie Guardado,Seattle Mariners,,P,87,,,0.065,3.1,-0.9,2.3,2.4,-0.2,0.058,High Heat,79%,FO,K,FO,K,GO,FO,GO,HR,BB,1B,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.08,0.02,0.01
109,Tim Wakefield,Boston Red Sox,,P,76,,,0.096,0.4,1.8,2.2,-0.1,2.2,-0.044,Double Play,57%,GO,FO,GO,FO,GO,1B,K,BB,HR,2B,0.01,0.01,0.01,0.01,0.01,0.07,0.00,0.03,0.05,0.01
134,Freddy Garcia,Chicago White Sox,,P,81,,*,0.077,2.0,0.1,2.1,2.2,0.0,0.022,High Heat,92%,GO,FO,GO,K,FO,K,1B,2B,BB,HR,0.01,0.01,0.01,0.00,0.00,0.00,0.04,0.05,0.02,0.02
122,Josh Beckett,Florida Marlins,,P,68,,,0.072,2.5,-1.0,1.5,-1.1,2.6,0.129,High Heat,53%,GO,FO,K,GO,K,FO,BB,1B,2B,HR,0.01,0.01,0.00,0.01,0.00,0.00,0.03,0.03,0.03,0.02
103,Rich Harden,Oakland Athletics,,P,79,,,0.076,2.2,-1.0,1.2,1.2,0.0,0.179,High Heat,35%,FO,GO,FO,K,GO,1B,K,BB,BB,2B,0.01,0.01,0.01,0.00,0.01,0.07,0.00,0.03,0.02,0.01
81,Odalis Perez,Los Angeles Dodgers,,P,89,,*,0.107,-0.7,1.9,1.2,2.6,-1.4,-0.037,Double Play,56%,GO,GO,FO,GO,K,1B,GO,2B,HR,3B,0.01,0.01,0.01,0.01,0.00,0.07,0.00,0.05,0.05,0.02
49,Orlando Hernandez,Chicago White Sox,,P,84,,,0.104,-0.3,0.8,0.5,2.3,-1.8,0.011,High Heat,96%,FO,GO,K,FO,K,BB,GO,HR,2B,HR,0.01,0.01,0.00,0.01,0.00,0.05,0.00,0.08,0.03,0.02
26,Jorge Julio,Baltimore Orioles,,P,77,,,0.090,0.9,-1.0,-0.1,1.2,-1.3,0.107,High Heat,61%,FO,K,FO,BB,GO,GO,K,1B,HR,FO,0.01,0.00,0.01,0.07,0.01,0.00,0.00,0.03,0.05,0.00
123,David Wells,Boston Red Sox,,P,81,,*,0.093,0.6,-0.7,-0.1,2.1,-2.2,0.078,Pick Off,43%,GO,FO,1B,GO,FO,GO,FO,K,2B,HR,0.01,0.01,0.10,0.01,0.00,0.00,0.00,0.00,0.03,0.02
